gene	GFP_rep1	GFP_rep2	GFP_rep3	WT_rep1	WT_rep2	WT_rep3	DA_rep1	DA_rep2	DA_rep3
ENSG00000162104	126	78	114	204	194	193	359	392	451
ENSG00000162105	28	12	28	39	24	37	81	64	77
ENSG00000162129	193	128	156	204	233	237	446	454	545
ENSG00000162139	80	54	63	150	139	158	226	250	288
ENSG00000162144	21	33	34	64	59	44	78	99	92
ENSG00000162148	0	2	0	1	3	2	6	6	5
ENSG00000162174	203	116	127	250	287	249	462	405	537
ENSG00000162188	1	1	0	0	0	1	1	0	2
ENSG00000162191	634	447	344	743	591	657	1364	1338	1437
ENSG00000162194	61	43	49	105	118	116	133	153	153
ENSG00000162222	104	95	77	144	149	126	182	239	207
ENSG00000162227	33	19	16	54	36	39	84	68	97
ENSG00000162231	268	242	228	452	407	425	740	763	832
ENSG00000162236	72	69	59	100	105	100	168	176	166
ENSG00000162241	11	11	3	9	15	13	29	25	33
ENSG00000162244	2047	1873	1704	2927	3380	3055	4346	5492	5787
ENSG00000162267	0	0	0	1	0	0	2	1	3
ENSG00000162290	413	309	373	664	677	647	911	1283	1299
ENSG00000162298	39	22	36	59	43	45	86	98	119
ENSG00000162300	50	37	43	57	63	71	109	102	135
ENSG00000162302	57	34	40	55	61	90	84	103	126
ENSG00000162337	82	59	61	150	121	112	227	231	237
ENSG00000162341	60	31	41	70	79	76	139	115	132
ENSG00000162344	1	0	0	1	2	0	1	5	3
ENSG00000162365	0	0	0	0	2	0	0	4	1
ENSG00000162366	0	0	0	0	2	0	0	1	0
ENSG00000162367	6	10	6	22	21	26	52	41	55
ENSG00000162368	1227	968	926	1971	2088	1992	3023	4259	4181
ENSG00000162373	2	8	5	14	14	12	14	28	37
ENSG00000162374	3	0	1	1	0	1	3	4	2
ENSG00000162377	245	220	219	527	532	480	751	920	911
ENSG00000162378	637	523	579	1028	1281	1178	1542	2228	2194
ENSG00000162383	0	0	0	5	0	1	4	4	2
ENSG00000162384	158	135	112	267	229	217	413	501	512
ENSG00000162385	272	250	242	504	675	600	526	735	839
ENSG00000162390	8	2	3	13	11	5	19	16	20
ENSG00000162391	0	0	0	0	0	0	0	1	0
ENSG00000162396	49	39	40	58	88	95	130	156	179
ENSG00000162398	0	0	0	0	0	0	2	1	1
ENSG00000162399	0	0	0	1	0	1	8	4	1
ENSG00000162402	1731	1569	1766	3459	3316	3096	4863	6128	6558
ENSG00000162407	75	55	53	75	90	77	135	146	182
ENSG00000162408	722	534	632	1277	1242	1362	2225	2656	2747
ENSG00000162409	1120	885	886	2126	2083	1846	2597	3572	3587
ENSG00000162413	89	124	94	152	233	204	309	355	400
ENSG00000162415	35	40	30	93	59	73	193	168	192
ENSG00000162419	225	186	169	376	470	405	594	699	742
ENSG00000162426	0	0	0	0	0	0	1	1	1
ENSG00000162430	117	102	94	129	139	162	289	333	318
ENSG00000162433	567	415	441	916	812	755	1349	1586	1674
ENSG00000162434	670	567	629	1152	1025	1011	1772	2138	2321
ENSG00000162437	730	643	721	1265	1271	1252	1742	2482	2692
ENSG00000162438	3	0	0	0	0	0	2	2	0
ENSG00000162441	540	463	436	672	826	701	809	1239	1220
ENSG00000162444	58	42	44	71	79	76	101	129	140
ENSG00000162456	0	0	0	0	0	0	1	1	0
ENSG00000162458	14	4	5	11	15	12	27	19	17
ENSG00000162460	0	0	0	0	0	0	0	0	1
ENSG00000162461	1	1	0	0	0	0	0	1	2
ENSG00000162482	0	6	2	6	7	7	8	12	10
ENSG00000162490	1	1	3	6	6	3	15	13	7
ENSG00000162493	100	78	61	125	119	126	241	254	242
ENSG00000162494	0	0	0	1	0	0	0	0	1
ENSG00000162496	43	37	32	56	56	68	88	107	136
ENSG00000162510	0	3	0	6	2	4	9	7	11
ENSG00000162511	2	0	1	3	2	1	7	3	2
ENSG00000162512	102	83	58	205	198	217	298	295	382
ENSG00000162517	297	246	211	409	385	317	596	729	874
ENSG00000162520	19	14	12	49	38	46	53	71	63
ENSG00000162521	3557	2768	3028	4894	4958	3876	6206	8050	8831
ENSG00000162522	102	113	114	121	157	140	237	257	321
ENSG00000162526	7	12	8	28	29	36	49	56	72
ENSG00000162542	21	19	24	26	47	41	80	108	130
ENSG00000162543	1	0	0	0	0	0	0	0	0
ENSG00000162545	50	32	28	48	47	51	73	93	87
ENSG00000162551	20	2	9	10	7	20	21	30	37
ENSG00000162552	0	1	3	0	4	1	4	1	1
ENSG00000162571	0	0	0	0	0	2	0	0	0
ENSG00000162572	3	2	4	12	10	4	13	10	10
ENSG00000162576	14	11	6	13	9	18	25	30	29
ENSG00000162585	20	16	14	34	43	36	55	65	79
ENSG00000162591	1	1	1	5	0	2	3	6	9
ENSG00000162592	0	0	0	0	0	0	1	1	3
ENSG00000162594	1	0	0	3	0	2	2	1	3
ENSG00000162595	0	0	2	2	3	9	6	10	12
ENSG00000162598	1	0	0	3	1	1	3	2	5
ENSG00000162599	523	408	518	1011	1008	965	1542	1998	2009
ENSG00000162600	362	422	438	806	845	774	958	1453	1632
ENSG00000162601	1448	1362	1589	3143	3367	2912	3446	5192	5290
ENSG00000162604	381	372	388	886	914	735	1070	1407	1443
ENSG00000162607	3471	3092	2542	4840	5623	4871	5574	8965	8576
ENSG00000162613	4125	3117	3584	6921	6911	6391	8009	11852	12313
ENSG00000162614	149	117	150	323	360	358	416	608	563
ENSG00000162616	325	323	291	614	700	492	548	838	809
ENSG00000162618	0	0	2	2	1	0	1	3	3
ENSG00000162620	91	86	112	213	194	168	248	343	327
ENSG00000162621	0	0	0	0	1	2	2	1	3
ENSG00000162623	497	375	401	998	1043	890	1220	1494	1686
ENSG00000162624	30	17	16	33	48	41	39	79	62
ENSG00000162627	325	388	280	456	553	507	607	893	1021
ENSG00000162630	0	0	0	0	0	4	6	4	8
ENSG00000162631	6	3	5	8	7	10	11	9	13
ENSG00000162636	758	572	590	1336	1483	1238	1761	2142	2360
ENSG00000162639	0	0	0	1	0	0	1	2	2
ENSG00000162641	1	1	0	3	2	4	5	4	5
ENSG00000162642	406	363	327	781	919	821	1091	1355	1713
ENSG00000162643	35	28	53	89	90	81	110	163	143
ENSG00000162645	2	0	0	0	1	0	3	5	2
ENSG00000162650	35	34	33	64	57	56	117	134	145
ENSG00000162654	0	0	0	4	0	0	7	3	3
ENSG00000162664	1376	1088	1275	2617	2906	2794	3020	4675	4935
ENSG00000162669	103	91	80	226	177	207	242	332	346
ENSG00000162670	15	11	25	35	45	31	54	43	61
ENSG00000162676	57	47	50	94	101	78	129	169	197
ENSG00000162685	0	0	0	1	0	0	0	0	0
ENSG00000162687	211	201	201	359	406	307	388	550	576
ENSG00000162688	995	750	754	1610	1651	1468	2466	2878	2953
ENSG00000162692	2	1	7	4	1	3	5	3	1
ENSG00000162694	312	220	258	540	597	438	614	908	868
ENSG00000162695	701	524	638	1400	1558	1251	1643	2395	2452
ENSG00000162699	0	0	0	0	1	2	3	0	2
ENSG00000162702	629	570	573	1035	1282	1180	1294	1988	2022
ENSG00000162704	797	659	596	997	1186	916	1483	2126	2232
ENSG00000162706	0	0	0	3	1	1	4	1	2
ENSG00000162711	0	0	0	0	0	0	0	1	0
ENSG00000162714	123	94	85	179	147	144	249	284	245
ENSG00000162722	16	22	24	34	44	50	74	81	107
ENSG00000162723	0	0	0	0	1	1	0	1	0
ENSG00000162727	0	0	0	1	0	0	0	0	0
ENSG00000162728	0	0	0	2	1	0	1	6	4
ENSG00000162729	5	2	3	4	5	3	11	13	11
ENSG00000162733	67	62	55	169	102	73	215	324	263
ENSG00000162734	541	414	308	624	641	605	947	1213	1272
ENSG00000162735	153	139	169	267	305	264	518	609	562
ENSG00000162736	255	176	219	465	393	385	829	819	920
ENSG00000162738	146	95	91	202	141	198	407	386	414
ENSG00000162739	0	0	0	1	0	2	3	0	2
ENSG00000162745	5	7	4	15	10	3	17	13	19
ENSG00000162746	6	4	10	10	7	6	5	14	12
ENSG00000162747	0	0	0	0	0	0	0	1	0
ENSG00000162753	0	0	0	4	1	2	4	0	1
ENSG00000162755	0	0	0	1	0	0	0	0	0
ENSG00000162757	44	34	34	91	99	55	116	123	148
ENSG00000162761	2	0	0	1	0	0	5	0	1
ENSG00000162763	0	0	0	0	0	0	1	0	0
ENSG00000162769	213	178	236	489	604	505	615	918	836
ENSG00000162771	2	1	0	2	2	1	5	4	3
ENSG00000162772	462	425	287	580	383	403	717	867	887
ENSG00000162775	586	468	574	1089	908	831	1260	1637	1821
ENSG00000162777	0	1	0	0	0	0	5	0	3
ENSG00000162779	9	8	4	22	13	13	27	28	34
ENSG00000162782	3	2	2	5	5	5	12	17	20
ENSG00000162783	130	77	60	110	117	92	180	168	229
ENSG00000162804	21	6	5	21	6	20	26	24	28
ENSG00000162813	268	219	194	474	474	424	586	746	771
ENSG00000162814	47	37	37	51	69	52	36	94	106
ENSG00000162817	122	111	83	188	218	169	305	356	371
ENSG00000162819	488	323	372	714	760	735	901	1215	1345
ENSG00000162825	0	0	0	1	1	0	2	0	0
ENSG00000162836	128	111	135	264	228	290	351	530	407
ENSG00000162840	0	0	0	0	0	0	0	0	0
ENSG00000162843	1	2	0	6	1	2	4	4	7
ENSG00000162849	35	19	32	50	45	51	83	89	119
ENSG00000162851	74	57	80	141	182	159	164	236	252
ENSG00000162852	101	84	88	210	212	152	261	332	379
ENSG00000162869	234	186	194	347	347	332	487	706	653
ENSG00000162873	0	0	0	1	0	0	1	2	3
ENSG00000162877	2	2	2	6	5	0	4	3	4
ENSG00000162878	22	19	16	37	37	34	58	72	67
ENSG00000162881	1	0	0	0	0	0	0	5	2
ENSG00000162882	3	3	1	12	3	13	17	17	15
ENSG00000162885	134	127	118	253	285	244	369	480	466
ENSG00000162888	0	0	0	1	0	0	2	0	0
ENSG00000162889	153	129	130	261	307	306	493	488	628
ENSG00000162891	0	0	0	0	0	0	0	1	0
ENSG00000162892	0	0	0	0	0	0	1	2	3
ENSG00000162894	0	0	0	2	1	1	3	0	0
ENSG00000162896	0	0	1	0	0	1	0	0	2
ENSG00000162897	0	0	0	0	1	0	1	2	0
ENSG00000162909	412	355	343	507	504	438	817	870	982
ENSG00000162910	31	36	47	51	56	74	86	105	98
ENSG00000162913	3	0	3	3	9	7	13	12	12
ENSG00000162923	1134	1007	1028	2172	2093	1911	2670	3500	3688
ENSG00000162924	236	262	275	551	497	482	591	896	953
ENSG00000162927	60	55	57	81	99	102	101	125	158
ENSG00000162928	350	340	274	615	750	593	649	1080	1108
ENSG00000162929	177	146	149	314	330	291	362	532	504
ENSG00000162931	4	0	4	5	4	7	13	17	14
ENSG00000162944	14	5	11	25	8	16	29	25	34
ENSG00000162946	28	33	35	73	74	62	97	141	141
ENSG00000162947	0	0	0	4	0	2	3	0	1
ENSG00000162949	0	0	0	0	0	0	1	2	0
ENSG00000162951	0	0	0	1	1	0	0	0	2
ENSG00000162959	21	24	36	78	55	58	80	89	65
ENSG00000162961	203	161	155	384	401	350	441	614	595
ENSG00000162971	170	185	183	403	440	357	455	634	593
ENSG00000162972	100	61	43	103	179	138	180	222	229
ENSG00000162975	0	0	0	0	0	0	0	1	0
ENSG00000162976	25	19	12	14	17	23	34	27	33
ENSG00000162980	648	590	578	1200	1430	1199	1390	2082	1947
ENSG00000162981	1	0	0	0	0	1	0	0	4
ENSG00000162989	10	9	3	7	5	12	16	30	26
ENSG00000162992	1	4	0	1	2	2	4	2	2
ENSG00000162994	73	75	60	164	160	165	193	255	243
ENSG00000162997	24	16	36	51	52	53	76	114	83
ENSG00000162998	5	1	1	3	4	10	8	11	15
ENSG00000162999	187	142	142	266	315	250	330	444	493
ENSG00000163001	895	972	775	1576	1695	1561	1832	2506	2739
ENSG00000163002	140	105	100	247	270	210	261	349	345
ENSG00000163006	840	807	704	1425	1664	1400	1460	2279	2374
ENSG00000163009	10	8	16	27	19	15	26	34	39
ENSG00000163012	0	0	1	4	0	0	2	1	3
ENSG00000163013	12	19	31	47	21	40	67	57	79
ENSG00000163016	2	1	1	2	1	1	2	9	2
ENSG00000163017	3	2	5	3	6	6	9	14	16
ENSG00000163026	162	141	127	297	314	276	562	573	590
ENSG00000163029	1366	1396	1447	2863	3302	2817	3030	5101	4910
ENSG00000163032	0	0	0	0	0	1	2	0	0
ENSG00000163040	15	2	11	29	16	28	17	41	39
ENSG00000163041	845	634	557	1075	1262	1036	1439	1728	1718
ENSG00000163046	0	0	1	4	0	1	1	1	1
ENSG00000163050	239	209	186	291	333	306	479	635	690
ENSG00000163053	30	41	46	78	63	72	108	121	153
ENSG00000163060	0	0	0	1	0	0	1	0	0
ENSG00000163064	11	11	4	13	24	16	39	41	48
ENSG00000163067	70	48	45	112	118	91	146	194	175
ENSG00000163069	568	483	437	826	885	753	1039	1516	1601
ENSG00000163071	90	50	68	104	84	71	172	185	203
ENSG00000163072	3	0	3	3	8	11	9	6	12
ENSG00000163075	20	14	17	31	26	30	48	62	82
ENSG00000163081	6	0	3	8	10	9	17	12	13
ENSG00000163082	53	18	24	66	68	68	120	106	126
ENSG00000163083	42	46	27	74	57	78	168	148	181
ENSG00000163092	0	1	0	7	2	2	4	5	4
ENSG00000163093	15	15	19	26	45	31	33	58	64
ENSG00000163098	0	0	0	0	0	0	0	1	0
ENSG00000163104	681	565	651	1304	1377	1296	1788	2461	2454
ENSG00000163106	0	0	0	0	1	0	3	3	5
ENSG00000163110	283	248	270	566	533	496	715	868	1028
ENSG00000163113	493	364	463	875	935	808	1441	1721	1849
ENSG00000163114	0	0	0	1	0	0	0	3	1
ENSG00000163116	0	4	0	3	4	8	9	10	9
ENSG00000163121	0	0	0	0	0	0	1	0	2
ENSG00000163125	469	477	496	955	928	921	1657	1994	2082
ENSG00000163126	0	0	0	5	3	9	9	3	8
ENSG00000163131	4	5	8	3	8	11	26	24	18
ENSG00000163132	53	27	27	46	63	48	61	104	97
ENSG00000163138	79	63	70	148	178	151	152	231	263
ENSG00000163141	7	1	3	16	10	18	21	33	19
ENSG00000163145	0	0	0	1	1	0	3	1	2
ENSG00000163154	0	0	0	1	0	0	1	0	0
ENSG00000163155	167	147	124	256	243	208	348	440	439
ENSG00000163156	142	106	107	192	197	196	329	331	446
ENSG00000163157	0	0	0	0	0	0	0	0	0
ENSG00000163159	363	212	219	462	433	355	691	839	824
ENSG00000163161	235	188	192	412	378	356	583	733	766
ENSG00000163162	122	125	133	184	263	204	249	372	350
ENSG00000163166	618	578	666	1165	1381	1360	1658	2312	2519
ENSG00000163170	221	214	183	410	634	518	464	623	737
ENSG00000163171	101	85	100	132	176	133	204	285	276
ENSG00000163191	61	32	35	62	82	87	153	184	159
ENSG00000163202	0	0	0	0	0	0	1	1	0
ENSG00000163206	0	0	0	0	0	0	3	0	0
ENSG00000163207	0	0	0	0	0	0	0	0	1
ENSG00000163209	0	0	0	0	0	1	0	0	4
ENSG00000163214	416	306	356	819	871	765	1266	1421	1477
ENSG00000163216	0	0	0	0	0	0	0	0	0
ENSG00000163217	0	0	0	0	0	1	3	0	1
ENSG00000163218	0	0	0	1	0	1	0	0	1
ENSG00000163219	0	3	0	3	3	5	9	7	8
ENSG00000163220	0	0	1	0	0	0	0	0	0
ENSG00000163221	0	0	0	0	0	0	0	0	0
ENSG00000163235	22	7	10	32	23	21	36	48	50
ENSG00000163239	1	0	0	0	1	0	1	2	0
ENSG00000163249	152	113	94	194	255	226	292	352	346
ENSG00000163251	133	123	164	319	357	318	485	554	613
ENSG00000163254	0	0	0	0	0	0	1	0	0
ENSG00000163257	632	538	472	956	961	952	1294	1708	1740
ENSG00000163263	1	2	8	4	5	5	12	15	15
ENSG00000163273	3	3	7	9	13	10	12	13	20
ENSG00000163281	143	89	88	232	225	193	223	345	321
ENSG00000163283	0	0	0	0	0	0	2	1	0
ENSG00000163285	0	1	0	2	2	0	2	1	2
ENSG00000163286	0	0	0	0	2	0	0	0	0
ENSG00000163288	0	3	0	0	0	2	2	3	4
ENSG00000163291	494	351	360	798	822	623	953	1304	1267
ENSG00000163293	48	31	32	83	94	75	89	130	132
ENSG00000163295	0	0	0	0	0	0	0	1	0
ENSG00000163297	79	52	93	178	204	168	263	336	333
ENSG00000163312	176	166	157	319	362	295	332	499	572
ENSG00000163319	436	412	370	591	725	638	684	1013	1146
ENSG00000163320	934	741	717	1477	1743	1461	1693	2536	2581
ENSG00000163322	139	144	154	270	309	287	299	502	465
ENSG00000163328	61	45	62	119	108	86	163	227	210
ENSG00000163331	0	0	0	0	0	0	1	0	0
ENSG00000163344	62	48	34	62	69	68	121	122	110
ENSG00000163346	83	63	63	88	80	131	247	233	254
ENSG00000163347	15	9	8	23	21	22	23	31	36
ENSG00000163348	117	99	98	152	183	178	341	384	416
ENSG00000163349	964	709	831	1718	1784	1557	2521	3365	3573
ENSG00000163352	0	0	1	0	0	0	2	1	0
ENSG00000163354	0	0	0	0	0	0	0	4	1
ENSG00000163357	0	0	0	2	0	0	0	2	3
ENSG00000163359	16	12	16	27	19	22	68	74	82
ENSG00000163362	4	1	1	1	1	5	12	9	7
ENSG00000163364	6	10	6	11	7	10	12	16	26
ENSG00000163374	407	352	403	831	799	634	1096	1373	1531
ENSG00000163376	355	314	258	646	764	566	722	1144	1166
ENSG00000163377	4	1	6	11	19	15	26	20	20
ENSG00000163378	189	162	167	327	374	356	427	686	677
ENSG00000163380	0	1	0	3	4	3	8	0	5
ENSG00000163382	93	61	87	127	142	118	247	272	310
ENSG00000163386	202	152	195	494	462	410	635	790	876
ENSG00000163389	167	132	181	337	399	346	459	629	615
ENSG00000163393	75	75	98	155	154	119	186	230	269
ENSG00000163394	0	0	3	2	0	0	2	0	2
ENSG00000163395	4	0	1	15	5	8	15	18	15
ENSG00000163399	2430	1751	1794	3070	2905	2735	5706	5668	6162
ENSG00000163406	9	13	16	30	25	28	32	50	39
ENSG00000163412	424	318	345	818	751	755	1045	1525	1474
ENSG00000163421	10	11	2	15	20	24	32	20	41
ENSG00000163424	0	0	0	0	0	0	0	1	1
ENSG00000163428	1734	1545	1473	3216	3663	3008	3903	5849	5763
ENSG00000163430	625	455	448	930	891	818	1222	1568	1715
ENSG00000163431	30	27	24	40	46	34	69	96	72
ENSG00000163435	7	0	1	5	2	3	4	6	8
ENSG00000163440	0	4	2	1	1	3	4	1	4
ENSG00000163444	394	263	248	588	581	424	735	941	960
ENSG00000163449	7	2	9	12	19	18	14	14	23
ENSG00000163453	11	6	10	14	23	21	39	42	47
ENSG00000163462	2	5	3	3	2	5	1	6	6
ENSG00000163463	54	35	33	71	98	81	97	138	165
ENSG00000163464	0	0	2	1	0	0	2	0	0
ENSG00000163466	835	649	716	1372	1325	1211	1953	2385	2396
ENSG00000163467	13	13	3	9	18	17	21	49	32
ENSG00000163468	4782	3741	3530	6184	5982	6349	10800	12933	13659
ENSG00000163472	5	3	7	30	12	13	26	31	31
ENSG00000163479	667	518	481	839	872	787	1250	1438	1442
ENSG00000163481	75	38	67	132	150	105	251	246	283
ENSG00000163482	78	89	87	160	156	144	243	294	394
ENSG00000163485	7	1	2	3	9	5	8	11	22
ENSG00000163486	185	136	177	316	317	268	536	558	624
ENSG00000163491	66	61	78	104	147	103	188	235	232
ENSG00000163492	7	0	2	2	3	9	9	9	11
ENSG00000163497	0	0	0	0	0	0	1	0	0
ENSG00000163499	0	0	2	0	0	2	1	0	1
ENSG00000163501	0	0	0	0	0	0	0	1	0
ENSG00000163507	790	640	644	1418	1724	1403	1694	2318	2263
ENSG00000163508	44	37	38	73	103	89	109	146	170
ENSG00000163510	1008	1012	973	1916	2017	1632	2068	3525	3659
ENSG00000163512	707	693	623	1118	1355	1219	1546	2314	2134
ENSG00000163513	61	41	46	74	77	76	130	120	127
ENSG00000163515	0	0	0	2	1	0	3	1	2
ENSG00000163516	141	104	119	192	168	153	247	306	323
ENSG00000163517	7	9	3	16	17	12	29	21	48
ENSG00000163518	0	0	1	2	1	0	5	1	3
ENSG00000163519	0	0	0	0	2	0	1	3	2
ENSG00000163520	7	6	9	5	0	9	12	13	6
ENSG00000163521	6	6	2	28	22	23	37	50	48
ENSG00000163527	2570	2016	1966	3923	4098	3557	4516	7233	7055
ENSG00000163528	211	186	205	307	342	289	436	569	654
ENSG00000163530	0	0	0	0	0	0	3	1	1
ENSG00000163531	15	14	15	29	25	18	42	33	59
ENSG00000163534	0	0	0	1	0	0	0	1	0
ENSG00000163535	651	708	757	1408	1797	1482	1566	2758	2657
ENSG00000163536	31	33	41	50	53	43	60	83	95
ENSG00000163539	1201	1003	1098	1971	2282	2007	2519	3662	3545
ENSG00000163541	466	311	320	567	548	432	787	915	996
ENSG00000163545	7	11	1	20	8	20	24	23	22
ENSG00000163554	1	0	2	4	1	3	24	2	14
ENSG00000163558	518	423	373	863	850	793	979	1345	1422
ENSG00000163563	1	0	0	1	0	0	0	1	1
ENSG00000163564	0	0	0	0	1	1	0	0	0
ENSG00000163565	0	3	0	2	1	1	3	0	1
ENSG00000163568	0	0	0	2	0	0	2	1	2
ENSG00000163576	9	12	10	8	14	23	26	21	27
ENSG00000163577	123	118	100	222	283	262	299	481	537
ENSG00000163581	0	0	0	0	0	1	2	1	0
ENSG00000163584	766	1043	680	1504	1748	1215	1576	3026	2571
ENSG00000163586	0	0	0	0	0	0	2	2	1
ENSG00000163590	391	288	283	539	565	461	680	846	986
ENSG00000163596	97	85	93	203	207	163	258	351	362
ENSG00000163597	2589	2535	2345	5523	8626	6104	7768	10359	7967
ENSG00000163599	1	0	0	0	0	0	0	0	1
ENSG00000163600	0	0	0	1	0	0	2	0	1
ENSG00000163602	453	364	334	807	869	725	1185	1518	1521
ENSG00000163605	1475	1326	1157	2263	2864	2147	2554	4039	3832
ENSG00000163606	0	2	1	2	4	7	6	7	9
ENSG00000163607	191	164	192	410	492	425	481	691	605
ENSG00000163608	511	459	535	1107	1331	1123	1488	2014	1886
ENSG00000163611	422	390	407	806	833	865	909	1385	1334
ENSG00000163612	0	0	1	0	1	0	0	0	0
ENSG00000163617	71	47	79	176	173	136	207	289	329
ENSG00000163618	0	0	0	3	0	1	2	4	2
ENSG00000163623	31	13	15	34	50	35	56	56	71
ENSG00000163624	96	103	93	175	206	196	241	327	365
ENSG00000163625	616	533	756	1282	1268	1192	1771	2282	2403
ENSG00000163626	134	109	108	182	235	224	273	334	394
ENSG00000163629	1002	875	994	1927	1948	1699	2771	3328	3616
ENSG00000163630	0	0	0	1	0	0	3	1	2
ENSG00000163631	0	0	0	4	0	2	0	3	3
ENSG00000163632	0	0	0	1	0	0	1	2	2
ENSG00000163633	10	24	9	30	25	24	29	38	51
ENSG00000163634	605	592	587	1073	1395	1306	1240	1957	1922
ENSG00000163635	293	315	307	597	661	600	767	994	1100
ENSG00000163636	1164	1019	1212	2190	2377	2246	2825	4342	4199
ENSG00000163637	18	22	20	39	37	53	72	73	76
ENSG00000163638	71	41	60	120	110	106	163	199	217
ENSG00000163644	316	246	262	587	601	524	584	927	919
ENSG00000163645	3	4	3	3	3	4	6	7	5
ENSG00000163646	0	0	0	0	0	0	1	1	1
ENSG00000163655	2535	1922	1928	3921	4286	3865	5663	7275	7045
ENSG00000163659	180	194	179	314	347	300	350	530	530
ENSG00000163660	1083	992	1012	2375	2268	1721	2418	3237	3287
ENSG00000163661	17	9	3	33	22	15	21	29	38
ENSG00000163666	26	13	27	12	40	23	49	56	72
ENSG00000163673	3	0	0	10	3	2	3	5	2
ENSG00000163681	926	700	882	1454	1899	1754	1903	2934	3005
ENSG00000163682	3387	2201	1450	3288	3829	2396	3460	4759	4995
ENSG00000163683	107	89	76	131	165	151	187	334	289
ENSG00000163684	496	357	390	841	1043	871	1219	1513	1683
ENSG00000163686	26	15	22	27	47	33	64	64	69
ENSG00000163687	0	0	0	0	0	0	1	1	0
ENSG00000163689	87	77	76	166	191	159	208	298	321
ENSG00000163694	50	41	40	55	65	83	70	126	112
ENSG00000163697	140	108	100	211	247	182	308	445	401
ENSG00000163701	5	4	3	6	2	4	10	4	8
ENSG00000163702	5	1	2	21	19	12	22	22	22
ENSG00000163703	35	37	45	75	77	57	109	109	123
ENSG00000163704	5	6	0	9	9	10	10	12	16
ENSG00000163705	1	1	0	3	2	3	5	3	2
ENSG00000163710	81	76	71	131	170	160	187	227	273
ENSG00000163714	4790	4043	3918	7831	7981	7024	10285	15031	14802
ENSG00000163719	233	198	193	330	328	323	555	656	710
ENSG00000163728	608	453	525	1210	1391	1342	1410	2169	2087
ENSG00000163734	7	2	3	7	4	13	5	15	15
ENSG00000163735	0	0	0	2	1	0	0	1	1
ENSG00000163736	0	0	0	0	0	0	0	0	0
ENSG00000163737	3	0	1	1	3	0	1	4	0
ENSG00000163738	233	210	175	367	394	351	399	620	610
ENSG00000163739	2	0	1	0	2	2	1	4	7
ENSG00000163743	317	193	214	439	520	451	571	743	733
ENSG00000163746	1	0	1	3	3	4	3	5	3
ENSG00000163749	2	1	0	1	1	1	10	1	3
ENSG00000163751	0	0	1	0	1	1	1	1	0
ENSG00000163754	282	144	191	324	375	267	481	573	530
ENSG00000163755	297	278	269	565	596	549	830	1103	1117
ENSG00000163762	0	0	0	0	1	1	1	1	1
ENSG00000163781	1545	1256	1385	2815	2781	2324	3483	4667	4826
ENSG00000163785	410	344	400	761	825	689	1161	1264	1399
ENSG00000163788	359	238	289	595	683	620	806	1218	1145
ENSG00000163792	0	0	0	0	0	1	1	0	0
ENSG00000163793	0	0	0	0	0	1	1	1	6
ENSG00000163794	0	1	0	0	0	1	1	0	2
ENSG00000163795	37	21	32	48	48	59	91	91	100
ENSG00000163798	376	322	396	726	830	714	1000	1362	1406
ENSG00000163803	1	1	0	3	2	0	7	5	9
ENSG00000163806	27	36	37	82	84	64	77	126	116
ENSG00000163807	519	457	422	956	1142	909	1186	1736	1882
ENSG00000163808	503	457	539	1043	1111	1066	1266	1802	1846
ENSG00000163810	0	0	1	0	1	3	3	1	1
ENSG00000163811	1811	1469	1635	3437	3467	3035	4749	6018	6274
ENSG00000163812	288	195	281	545	549	494	815	971	1099
ENSG00000163814	0	1	1	3	0	6	5	7	9
ENSG00000163815	0	0	0	0	0	0	1	1	0
ENSG00000163817	0	0	0	0	1	1	7	4	4
ENSG00000163818	234	193	198	416	496	416	489	719	696
ENSG00000163820	280	256	274	442	451	429	609	797	911
ENSG00000163823	0	0	0	0	0	0	1	1	1
ENSG00000163825	0	0	0	0	0	0	0	1	0
ENSG00000163827	0	0	3	6	1	1	13	5	3
ENSG00000163832	190	114	136	382	356	317	590	649	590
ENSG00000163833	0	0	0	1	0	2	5	2	4
ENSG00000163840	105	99	110	183	193	169	296	340	389
ENSG00000163848	1244	1026	996	1994	2023	1595	2280	3181	3252
ENSG00000163864	13	9	11	22	24	25	38	30	44
ENSG00000163866	103	109	114	172	205	177	269	385	361
ENSG00000163867	178	165	139	278	309	284	276	488	498
ENSG00000163870	31	34	30	56	46	41	57	84	99
ENSG00000163872	363	294	365	618	724	699	848	1170	1255
ENSG00000163873	2	0	0	0	0	0	2	2	2
ENSG00000163874	1	6	3	8	8	2	13	7	14
ENSG00000163875	510	439	403	713	774	668	996	1306	1498
ENSG00000163877	303	257	205	473	463	459	636	911	895
ENSG00000163879	3	2	3	7	14	5	11	9	9
ENSG00000163882	211	231	158	298	367	362	495	579	620
ENSG00000163884	44	26	39	90	67	93	147	168	148
ENSG00000163885	1	0	0	1	0	1	6	2	0
ENSG00000163888	4	1	3	1	3	1	2	3	0
ENSG00000163898	1	0	2	3	3	3	3	2	6
ENSG00000163900	105	88	84	205	275	181	314	373	410
ENSG00000163902	1815	1135	1196	2355	2047	1867	3795	4084	4133
ENSG00000163904	392	312	359	703	744	613	1095	1321	1295
ENSG00000163909	24	15	13	31	35	52	96	95	97
ENSG00000163913	145	109	111	242	235	257	370	427	468
ENSG00000163914	0	0	0	1	0	1	0	0	0
